day,project,usd_volume
2020-11-03T00:00:00+00:00,Uniswap,244390594.3110744
2020-11-04T00:00:00+00:00,Sushiswap,22723107.90248439
2020-11-04T00:00:00+00:00,Uniswap,251070633.57318068
2020-11-05T00:00:00+00:00,Sushiswap,41111259.832490794
2020-11-05T00:00:00+00:00,Uniswap,318499787.5739566
2020-11-06T00:00:00+00:00,Sushiswap,45529597.11291589
2020-11-06T00:00:00+00:00,Uniswap,390418260.8667509
2020-11-07T00:00:00+00:00,Sushiswap,76900900.09099014
2020-11-07T00:00:00+00:00,Uniswap,432162752.17093503
2020-11-08T00:00:00+00:00,Sushiswap,31203633.64722146
2020-11-08T00:00:00+00:00,Uniswap,222977109.3519939
2020-11-09T00:00:00+00:00,Sushiswap,25994137.470539305
2020-11-09T00:00:00+00:00,Uniswap,275588957.2345691
2020-11-10T00:00:00+00:00,Sushiswap,35862913.764870964
2020-11-10T00:00:00+00:00,Uniswap,264163269.71599934
2020-11-11T00:00:00+00:00,Sushiswap,35983648.134082176
2020-11-11T00:00:00+00:00,Uniswap,262307507.26621175
2020-11-12T00:00:00+00:00,Sushiswap,27291389.635552358
2020-11-12T00:00:00+00:00,Uniswap,253515759.9720826
2020-11-13T00:00:00+00:00,Sushiswap,40732611.34394532
2020-11-13T00:00:00+00:00,Uniswap,279886599.63704646
2020-11-14T00:00:00+00:00,Sushiswap,39930953.77412663
2020-11-14T00:00:00+00:00,Uniswap,421004256.6700154
2020-11-15T00:00:00+00:00,Sushiswap,63087604.159848444
2020-11-15T00:00:00+00:00,Uniswap,257474230.47260413
2020-11-16T00:00:00+00:00,Sushiswap,54768842.32795289
2020-11-16T00:00:00+00:00,Uniswap,307766679.0639656
2020-11-17T00:00:00+00:00,Sushiswap,73342232.27371404
2020-11-17T00:00:00+00:00,Uniswap,431515727.7436503
2020-11-18T00:00:00+00:00,Sushiswap,107016146.93135417
2020-11-18T00:00:00+00:00,Uniswap,327642084.12625515
2020-11-19T00:00:00+00:00,Sushiswap,82618645.56696007
2020-11-19T00:00:00+00:00,Uniswap,286449587.84028935
2020-11-20T00:00:00+00:00,Sushiswap,103430565.61234277
2020-11-20T00:00:00+00:00,Uniswap,339156427.16032475
2020-11-21T00:00:00+00:00,Sushiswap,139015219.22330093
2020-11-21T00:00:00+00:00,Uniswap,414753963.3337122
2020-11-22T00:00:00+00:00,Sushiswap,165885366.07666603
2020-11-22T00:00:00+00:00,Uniswap,474213723.36961764
2020-11-23T00:00:00+00:00,Sushiswap,92546325.93603519
2020-11-23T00:00:00+00:00,Uniswap,416672427.73714566
2020-11-24T00:00:00+00:00,Sushiswap,103280992.04540615
2020-11-24T00:00:00+00:00,Uniswap,459733960.0916366
2020-11-25T00:00:00+00:00,Sushiswap,80954132.48668188
2020-11-25T00:00:00+00:00,Uniswap,338602950.1500091
2020-11-26T00:00:00+00:00,Sushiswap,224430321.682892
2020-11-26T00:00:00+00:00,Uniswap,749144065.8796798
2020-11-27T00:00:00+00:00,Sushiswap,70051897.33395022
2020-11-27T00:00:00+00:00,Uniswap,263006768.02157083
2020-11-28T00:00:00+00:00,Sushiswap,43343306.468813546
2020-11-28T00:00:00+00:00,Uniswap,206919624.7893264
2020-11-29T00:00:00+00:00,Sushiswap,37686829.226712525
2020-11-29T00:00:00+00:00,Uniswap,234111613.7705455
2020-11-30T00:00:00+00:00,Sushiswap,84455900.62349194
2020-11-30T00:00:00+00:00,Uniswap,352368638.9547132
2020-12-01T00:00:00+00:00,Sushiswap,139762590.93409222
2020-12-01T00:00:00+00:00,Uniswap,383802098.73791677
2020-12-02T00:00:00+00:00,Sushiswap,97626667.18878318
2020-12-02T00:00:00+00:00,Uniswap,289588012.5974671
2020-12-03T00:00:00+00:00,Sushiswap,72145366.50520168
2020-12-03T00:00:00+00:00,Uniswap,336275443.2729123
2020-12-04T00:00:00+00:00,Sushiswap,80642735.10950646
2020-12-04T00:00:00+00:00,Uniswap,349112145.09414387
2020-12-05T00:00:00+00:00,Sushiswap,74694286.17992389
2020-12-05T00:00:00+00:00,Uniswap,299018560.2986965
2020-12-06T00:00:00+00:00,Sushiswap,57133140.59331903
2020-12-06T00:00:00+00:00,Uniswap,417372747.96287113
2020-12-07T00:00:00+00:00,Sushiswap,53136710.78423096
2020-12-07T00:00:00+00:00,Uniswap,349163171.08355594
2020-12-08T00:00:00+00:00,Sushiswap,94748690.6482174
2020-12-08T00:00:00+00:00,Uniswap,431761426.4750862
2020-12-09T00:00:00+00:00,Sushiswap,75361557.40513462
2020-12-09T00:00:00+00:00,Uniswap,399719560.427708
2020-12-10T00:00:00+00:00,Sushiswap,67031072.38447116
2020-12-10T00:00:00+00:00,Uniswap,348028135.95031416
2020-12-11T00:00:00+00:00,Sushiswap,69723240.29302165
2020-12-11T00:00:00+00:00,Uniswap,348112673.9997196
2020-12-12T00:00:00+00:00,Sushiswap,45212726.80438318
2020-12-12T00:00:00+00:00,Uniswap,271060133.67046756
2020-12-13T00:00:00+00:00,Sushiswap,43679257.914747104
2020-12-13T00:00:00+00:00,Uniswap,274257548.2879024
2020-12-14T00:00:00+00:00,Sushiswap,44798363.23157601
2020-12-14T00:00:00+00:00,Uniswap,293391693.5771519
2020-12-15T00:00:00+00:00,Sushiswap,63054912.39125945
2020-12-15T00:00:00+00:00,Uniswap,330079835.29359996
2020-12-16T00:00:00+00:00,Sushiswap,93665120.09501663
2020-12-16T00:00:00+00:00,Uniswap,352604553.0012801
2020-12-17T00:00:00+00:00,Sushiswap,145705092.26929238
2020-12-17T00:00:00+00:00,Uniswap,920302180.750553
2020-12-18T00:00:00+00:00,Sushiswap,73326332.94689022
2020-12-18T00:00:00+00:00,Uniswap,369041378.67134833
2020-12-19T00:00:00+00:00,Sushiswap,74337349.37118095
2020-12-19T00:00:00+00:00,Uniswap,393309943.1149571
2020-12-20T00:00:00+00:00,Sushiswap,60393875.19086475
2020-12-20T00:00:00+00:00,Uniswap,380210637.1507078
2020-12-21T00:00:00+00:00,Sushiswap,90517802.16495803
2020-12-21T00:00:00+00:00,Uniswap,478831849.6625334
2020-12-22T00:00:00+00:00,Sushiswap,92382136.09379277
2020-12-22T00:00:00+00:00,Uniswap,440289970.6939096
2020-12-23T00:00:00+00:00,Sushiswap,196313385.01728377
2020-12-23T00:00:00+00:00,Uniswap,457956560.6247891
2020-12-24T00:00:00+00:00,Sushiswap,169744513.2833411
2020-12-24T00:00:00+00:00,Uniswap,401827317.42531013
2020-12-25T00:00:00+00:00,Sushiswap,86422707.43658237
2020-12-25T00:00:00+00:00,Uniswap,388365385.021772
2020-12-26T00:00:00+00:00,Sushiswap,97711367.31530222
2020-12-26T00:00:00+00:00,Uniswap,372756448.0329027
2020-12-27T00:00:00+00:00,Sushiswap,185671047.86123985
2020-12-27T00:00:00+00:00,Uniswap,526150022.1941805
2020-12-28T00:00:00+00:00,Sushiswap,198723795.55681124
2020-12-28T00:00:00+00:00,Uniswap,491895417.0931664
2020-12-29T00:00:00+00:00,Sushiswap,130883226.26208216
2020-12-29T00:00:00+00:00,Uniswap,594348684.008907
2020-12-30T00:00:00+00:00,Sushiswap,170628367.29888338
2020-12-30T00:00:00+00:00,Uniswap,575050609.1926731
2020-12-31T00:00:00+00:00,Sushiswap,129496898.22238433
2020-12-31T00:00:00+00:00,Uniswap,582699636.0068259
2021-01-01T00:00:00+00:00,Sushiswap,156754409.42825818
2021-01-01T00:00:00+00:00,Uniswap,533308097.5911243
2021-01-02T00:00:00+00:00,Sushiswap,188123837.9856992
2021-01-02T00:00:00+00:00,Uniswap,604075065.9473594
2021-01-03T00:00:00+00:00,Sushiswap,430246685.79185635
2021-01-03T00:00:00+00:00,Uniswap,842039752.1574912
2021-01-04T00:00:00+00:00,Sushiswap,583268231.6105967
2021-01-04T00:00:00+00:00,Uniswap,1057453069.7457182
2021-01-05T00:00:00+00:00,Sushiswap,494821825.0073562
2021-01-05T00:00:00+00:00,Uniswap,852638231.610634
2021-01-06T00:00:00+00:00,Sushiswap,469182026.45405346
2021-01-06T00:00:00+00:00,Uniswap,819809480.1824688
2021-01-07T00:00:00+00:00,Sushiswap,478475939.48129344
2021-01-07T00:00:00+00:00,Uniswap,817589350.755265
2021-01-08T00:00:00+00:00,Sushiswap,604255106.0646472
2021-01-08T00:00:00+00:00,Uniswap,892432971.4374924
2021-01-09T00:00:00+00:00,Sushiswap,353699225.890259
2021-01-09T00:00:00+00:00,Uniswap,846024921.2531396
2021-01-10T00:00:00+00:00,Sushiswap,344058263.1159739
2021-01-10T00:00:00+00:00,Uniswap,863743872.2599584
2021-01-11T00:00:00+00:00,Sushiswap,712201399.576706
2021-01-11T00:00:00+00:00,Uniswap,1340133779.938826
2021-01-12T00:00:00+00:00,Sushiswap,332727701.4368042
2021-01-12T00:00:00+00:00,Uniswap,753026700.1928245
2021-01-13T00:00:00+00:00,Sushiswap,289263704.9806027
2021-01-13T00:00:00+00:00,Uniswap,615579535.0252388
2021-01-14T00:00:00+00:00,Sushiswap,276355035.5139193
2021-01-14T00:00:00+00:00,Uniswap,697246548.7018888
2021-01-15T00:00:00+00:00,Sushiswap,408463787.1162729
2021-01-15T00:00:00+00:00,Uniswap,817262293.5061613
2021-01-16T00:00:00+00:00,Sushiswap,337341166.0863731
2021-01-16T00:00:00+00:00,Uniswap,760375818.6909145
2021-01-17T00:00:00+00:00,Sushiswap,287257635.8856882
2021-01-17T00:00:00+00:00,Uniswap,718473518.4991368
2021-01-18T00:00:00+00:00,Sushiswap,260764866.2795003
2021-01-18T00:00:00+00:00,Uniswap,769421432.5047541
2021-01-19T00:00:00+00:00,Sushiswap,491361911.62819713
2021-01-19T00:00:00+00:00,Uniswap,1078893961.7883608
2021-01-20T00:00:00+00:00,Sushiswap,343307787.01216316
2021-01-20T00:00:00+00:00,Uniswap,832580090.1228756
2021-01-21T00:00:00+00:00,Sushiswap,457294597.430506
2021-01-21T00:00:00+00:00,Uniswap,980525386.5257349
2021-01-22T00:00:00+00:00,Sushiswap,388614773.484572
2021-01-22T00:00:00+00:00,Uniswap,923626385.1260058
2021-01-23T00:00:00+00:00,Sushiswap,306268875.5478745
2021-01-23T00:00:00+00:00,Uniswap,763595559.39628
2021-01-24T00:00:00+00:00,Sushiswap,336486744.1276736
2021-01-24T00:00:00+00:00,Uniswap,858859272.977777
2021-01-25T00:00:00+00:00,Sushiswap,525677761.02368575
2021-01-25T00:00:00+00:00,Uniswap,996645763.2195644
2021-01-26T00:00:00+00:00,Sushiswap,425295456.3987653
2021-01-26T00:00:00+00:00,Uniswap,873689260.7229762
2021-01-27T00:00:00+00:00,Sushiswap,379403388.95049226
2021-01-27T00:00:00+00:00,Uniswap,889337296.5174036
2021-01-28T00:00:00+00:00,Sushiswap,315223333.43175364
2021-01-28T00:00:00+00:00,Uniswap,776322341.8811995
2021-01-29T00:00:00+00:00,Sushiswap,626468255.6940556
2021-01-29T00:00:00+00:00,Uniswap,1115247988.1788332
2021-01-30T00:00:00+00:00,Sushiswap,378465569.6580976
2021-01-30T00:00:00+00:00,Uniswap,819336310.1228758
2021-01-31T00:00:00+00:00,Sushiswap,401484494.5061446
2021-01-31T00:00:00+00:00,Uniswap,807419041.1395456
2021-02-01T00:00:00+00:00,Sushiswap,412989634.2613189
2021-02-01T00:00:00+00:00,Uniswap,932736584.9299341
2021-02-02T00:00:00+00:00,Sushiswap,483285214.1105742
2021-02-02T00:00:00+00:00,Uniswap,1005473344.9395213
2021-02-03T00:00:00+00:00,Sushiswap,408210785.3951602
2021-02-03T00:00:00+00:00,Uniswap,955473762.9559604
2021-02-04T00:00:00+00:00,Sushiswap,704034811.7798829
2021-02-04T00:00:00+00:00,Uniswap,1377672851.8617976
2021-02-05T00:00:00+00:00,Sushiswap,544342690.4336699
2021-02-05T00:00:00+00:00,Uniswap,1215396960.8454156
2021-02-06T00:00:00+00:00,Sushiswap,544025835.0381871
2021-02-06T00:00:00+00:00,Uniswap,1071311201.1508594
2021-02-07T00:00:00+00:00,Sushiswap,407836422.95421666
2021-02-07T00:00:00+00:00,Uniswap,1001374645.7207984
2021-02-08T00:00:00+00:00,Sushiswap,535380014.7973174
2021-02-08T00:00:00+00:00,Uniswap,1163080864.8363621
2021-02-09T00:00:00+00:00,Sushiswap,458141071.036604
2021-02-09T00:00:00+00:00,Uniswap,1128925858.0102386
2021-02-10T00:00:00+00:00,Sushiswap,552140132.3517191
2021-02-10T00:00:00+00:00,Uniswap,1143624860.99687
2021-02-11T00:00:00+00:00,Sushiswap,370376182.20250666
2021-02-11T00:00:00+00:00,Uniswap,988017602.8067327
2021-02-12T00:00:00+00:00,Sushiswap,418863056.01115286
2021-02-12T00:00:00+00:00,Uniswap,1107374872.7301922
2021-02-13T00:00:00+00:00,Sushiswap,440505141.9235734
2021-02-13T00:00:00+00:00,Uniswap,1103673633.8855147
2021-02-14T00:00:00+00:00,Sushiswap,324933091.15138656
2021-02-14T00:00:00+00:00,Uniswap,1082984724.3650782
2021-02-15T00:00:00+00:00,Sushiswap,595833507.1541039
2021-02-15T00:00:00+00:00,Uniswap,1264490713.5602603
2021-02-16T00:00:00+00:00,Sushiswap,344685391.4334987
2021-02-16T00:00:00+00:00,Uniswap,1084958024.6862354
2021-02-17T00:00:00+00:00,Sushiswap,445500720.1784178
2021-02-17T00:00:00+00:00,Uniswap,1192267723.9544866
2021-02-18T00:00:00+00:00,Sushiswap,348291958.48552793
2021-02-18T00:00:00+00:00,Uniswap,1200218540.0780122
2021-02-19T00:00:00+00:00,Sushiswap,473706628.5944524
2021-02-19T00:00:00+00:00,Uniswap,1106475475.743546
2021-02-20T00:00:00+00:00,Sushiswap,660211372.4566052
2021-02-20T00:00:00+00:00,Uniswap,1352317373.10572
