from,total_transactions,total_eth
\xab0316302a10d711683ca4bc0258758a497c3d25,1,10.0
\x74bab71604f6c856d60a599dfe6bc911a4f811a5,1,1.01
\xb6dd986521d404f79600e2ae562aa1810134e2e0,1,0.1382786
\x474500a07bbc0e0071e50085019e990bea00f4a7,1,0.5
\x7ee66bc5dc0b44d38bcb6ed22e179355680fe57d,1,0.3
\x5790096c22396a5d30ddd17bf497fd9ecaa720c3,1,0.03
\xf24862bece5aca33352e736d92d8af34a7b8453a,1,0.001
\x9546d2673fe5356f76868e79a99cf9d5c01adec1,1,0.5
\xb89dd647788c54a03ba290a6320ba53566afb57d,1,0.6
\x79f49296e82c44535d78f5c689b9dd63577f75bc,1,5.0
\xb883b3e0b80ab0fe4f83aca4e11b5fb2e30f740b,1,0.002
\x2807730c7d02202de74145544882edbb042169c3,1,0.7
\x6c36fedaad6d2ecd107bf27ec462dd3faade96f8,1,0.989139
\x7eae61d0d71f504494c1cd9925aeb3c4210bc113,1,0.5
\x1f3845662075e13cb6062867fb2ee0b178f79ecd,1,0.01
\xc86f08dec31dbdba2f5301af3a1eab44ba193bb5,1,0.59997861
\x84af40b4cf22b3f949e07a1bccec886508d6e8b0,1,0.02271579
\x8bd2c84e443305e62550f0d7c1009e474437b885,1,0.6
\x98687ddab1ca1406e7fb46b879f811a76fe68a1f,1,0.01
\xab16354df15534624318f5a8957b7cf12c21490c,1,0.000241660302945355
\xffd3f45656deaf0f61064afed0b315452c4d1544,1,0.5
\xf2e2912dd895916c6615143fb71589f7a2d8bb29,1,0.002
\x7eb0cbd1888092345b2a2110fc1bb48a36f9fa17,1,5.0
\xd97bd8949482468fb008e6d29ed29150d2734761,1,0.5
\xe93311976aa4bf14b9452bc357f227897d2bff40,1,1.0
\xab8eafb80a43a961f8fa4c8ca5aeec089d373fc2,1,0.57235348
\x4ed83e973c3e50cfbe483398ab17e347ebd244ce,1,1e-05
\x4ba6936a8991a1b537e0033e87d5040c1392ac06,1,0.5
\x9e4d8b6ec307db01dc82065137717674ee41d4c5,1,0.549874
\xf924ed626f8366b98be764c74fc28349534ac2bb,1,0.5
\x390de26d772d2e2005c6d1d24afc902bae37a4bb,1,2.29
\x4f1872383be22878af5d4795b69be61b35ec5d10,1,0.099034
\x489468cd3740a24e196f01b9a57c538fd6b1243d,1,1.0
\x50f2201490dd9862de00edb02bb0026ce128f7a8,1,0.5
\xe038438a86de40b6cbb1a1c2af6746c94432c09f,1,0.5
\x032b57bad376bf17d5ed26191e93b76153922d22,1,0.5
\x5fd4437e01fca2246d2135839bc23482575c77b5,1,1.0
\x0c1abb934b1baa19aa82ce68765b5c734dfa3fc2,1,0.1
\x70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,1,0.00990321
\x7cee341f5ebc7545771eeb1b792651396b9e6c27,1,0.5
\x549f42bf8d77694e2048727ff9e4c6866661110b,1,0.7
\xb520cf3218aec546f52ae2a9aa5403b21ef0ba72,1,0.59991604
\x2b7d9bcd66213327094c8c11d3d5c58546304576,1,0.0015209
\x53b919cd827c992ea29e74bd1d268d1e815803e9,1,0.6
\x1cea0f24c3da5b739c281ec467280b653178bcb0,1,0.002
\x5349587b618ea8edab99c4422c020a0488288b0e,1,0.54351889
\x6de55ef9a8a5ec6e2077d6e8176ca4c228222932,1,0.002969
\x3e7a112ecb6fe90c7d4d959589d0cdb369a0d70c,1,0.5
\xe5745d74bc1bd5789ad47890f6726fbf311a0e0c,1,0.00158243
\x7ccdd82715048372a3d8191e5fafcebedda5395d,1,0.99
\x1847b35a3444edbede05b52a378d45e13eea54c4,1,0.003517
\x751ca9754c39ab5ab4bd099d3a60b049de45c16e,1,0.9980591
\x243c952cc2f2ed6c335a335660bfd69e16ecdd78,1,0.4
\x59a5208b32e627891c389ebafc644145224006e8,1,0.35894133
\xb53c8e1a36f8fa6aaa64abc9e1b38111a6d9afbc,1,1.0
\xa884d89ba0d59b33d04181b7a8e6f7e820e57cbc,1,0.017309
\xd380daceb37ef24642b798205a5b553a9f37cd85,1,0.5
\xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,1,13.3
\xe44c1e644766293fcc3c9f12deb2bbe9dccbc58c,1,0.5
\x536e0d441159955682a9ba4655a30154fe5cd708,1,10.0
\x6a5cbfe7702c51c07958c82fdcb07ef02f827ba5,1,0.5
\x57debd99c50a56b8f1c0b3a11e2a3a3734efc812,1,5.0
\xeb0f84ec3c60d63afc8e147a30c9d91d44c0c602,1,0.035426122
